Cement (kg/m³),Water (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Blast Furnace Slag (kg/m³),Fly Ash (kg/m³),Superplasticizer (kg/m³),Age (day),Compressive strength (MPa)
173.8,172.3,1007.2,746.6,93.4,159.9,9.7,100,50.94
190.3,166.6,1079,798.9,0,125.2,9.9,100,33.56
250,191.8,948.9,857.2,0,95.7,5.3,100,41.16
213.5,159.2,1043.6,771.9,0,174.2,11.7,100,52.96
194.7,170.2,998,901.8,0,100.5,7.5,100,44.28
251.4,192.9,1043.6,754.3,0,118.3,5.8,100,40.15
446,162,967,712,24,79,11.6,28,57.03
446,162,967,712,24,79,11.6,28,44.42
446,162,967,712,24,79,11.6,28,51.02
446,162,967,712,24,79,10.3,28,53.39
446,162,967,712,24,79,11.6,3,35.36
446,162,967,712,24,79,11.6,3,25.02
446,162,967,712,24,79,11.6,3,23.35
446,162,967,712,24,79,11.6,7,52.01
446,162,967,712,24,79,11.6,7,38.02
446,162,967,712,24,79,11.6,7,39.3
446,162,967,712,24,79,11.6,56,61.07
446,162,967,712,24,79,11.6,56,56.14
446,162,967,712,24,79,11.6,56,55.25
446,162,967,712,24,79,10.3,56,54.77
387,157,938,845,20,94,14.3,28,50.24
387,157,938,845,20,94,13.9,28,46.68
387,157,938,845,20,94,11.6,28,46.68
387,157,938,845,20,94,14.3,3,22.75
387,157,938,845,20,94,13.9,3,25.51
387,157,938,845,20,94,11.6,3,34.77
387,157,938,845,20,94,14.3,7,36.84
387,157,938,845,20,94,13.9,7,45.9
387,157,938,845,20,94,11.6,7,41.67
387,157,938,845,20,94,14.3,56,56.34
387,157,938,845,20,94,13.9,56,47.97
387,157,938,845,20,94,11.6,56,61.46
355,145,967,871,19,97,13.1,28,44.03
355,145,967,871,19,97,12.3,28,55.45
491,210,882,699,26,123,3.9,28,55.55
491,201,822,699,26,123,3.9,28,57.92
491,210,882,699,26,123,3.9,3,25.61
491,210,882,699,26,123,3.9,7,33.49
491,210,882,699,26,123,3.9,56,59.59
491,201,822,699,26,123,3.9,3,29.55
491,201,822,699,26,123,3.9,7,37.92
491,201,822,699,26,123,3.9,56,61.86
424,178,822,750,22,132,8.5,28,62.05
424,178,882,750,22,132,8.5,3,32.01
424,168,822,750,22,132,8.9,28,72.1
424,178,822,750,22,132,8.5,7,39
424,178,822,750,22,132,8.5,56,65.7
424,168,822,750,22,132,8.9,3,32.11
424,168,822,750,22,132,8.9,7,40.29
424,168,822,750,22,132,8.9,56,74.36
202,206,942,801,11,141,1.7,28,21.97
202,206,942,801,11,141,1.7,3,9.85
202,206,942,801,11,141,1.7,7,15.07
202,206,942,801,11,141,1.7,56,23.25
284,179,842,801,15,141,5.5,28,43.73
284,179,842,801,15,141,5.5,3,13.4
284,179,842,801,15,141,5.5,7,24.13
284,179,842,801,15,141,5.5,56,44.52
359,154,942,801,19,141,10.9,28,62.94
359,154,942,801,19,141,10.9,28,59.49
359,154,942,801,19,141,10.9,3,25.12
359,154,942,801,19,141,10.9,3,23.64
359,154,942,801,19,141,10.9,7,35.75
359,154,942,801,19,141,10.9,7,38.61
359,154,942,801,19,141,10.9,56,68.75
359,154,942,801,19,141,10.9,56,66.78
436,218,838.4,719.7,0,0,0,28,23.85
289,192,913.2,895.3,0,0,0,90,32.07
289,192,913.2,895.3,0,0,0,3,11.65
393,192,940.6,785.6,0,0,0,3,19.2
393,192,940.6,785.6,0,0,0,90,48.85
393,192,940.6,785.6,0,0,0,28,39.6
480,192,936.2,712.2,0,0,0,28,43.94
480,192,936.2,712.2,0,0,0,7,34.57
480,192,936.2,712.2,0,0,0,90,54.32
480,192,936.2,712.2,0,0,0,3,24.4
333,192,931.2,842.6,0,0,0,3,15.62
255,192,889.8,945,0,0,0,90,21.86
255,192,889.8,945,0,0,0,7,10.22
289,192,913.2,895.3,0,0,0,7,14.6
255,192,889.8,945,0,0,0,28,18.75
333,192,931.2,842.6,0,0,0,28,31.97
333,192,931.2,842.6,0,0,0,7,23.4
289,192,913.2,895.3,0,0,0,28,25.57
333,192,931.2,842.6,0,0,0,90,41.68
393,192,940.6,785.6,0,0,0,7,27.74
255,192,889.8,945,0,0,0,3,8.2
158.8,185.7,1040.6,734.3,238.2,0,0,7,9.62
239.6,185.7,941.6,664.3,359.4,0,0,7,25.42
238.2,185.7,1040.6,734.3,158.8,0,0,7,15.69
181.9,185.7,1012.4,714.3,272.8,0,0,28,27.94
193.5,185.7,998.2,704.3,290.2,0,0,28,32.63
255.5,185.7,1026.6,724.3,170.3,0,0,7,17.24
272.8,185.7,1012.4,714.3,181.9,0,0,7,19.77
239.6,185.7,941.6,664.3,359.4,0,0,28,39.44
220.8,185.7,1055,744.3,147.2,0,0,28,25.75
397,185.7,1040.6,734.3,0,0,0,28,33.08
382.5,185.7,1047.8,739.3,0,0,0,7,24.07
210.7,185.7,977,689.3,316.1,0,0,7,21.82
158.8,185.7,1040.6,734.3,238.2,0,0,28,21.07
295.8,185.7,1091.4,769.3,0,0,0,7,14.84
255.5,185.7,1026.6,724.3,170.3,0,0,28,32.05
203.5,185.7,1076.2,759.3,135.7,0,0,7,11.96
397,185.7,1040.6,734.3,0,0,0,7,25.45
381.4,185.7,1104.6,784.3,0,0,0,28,22.49
295.8,185.7,1091.4,769.3,0,0,0,28,25.22
228,185.7,955.8,674.3,342.1,0,0,28,39.7
220.8,185.7,1055,744.3,147.2,0,0,7,13.09
316.1,185.7,977,689.3,210.7,0,0,28,38.7
135.7,185.7,1076.2,759.3,203.5,0,0,7,7.51
238.1,185.7,1118.8,789.3,0,0,0,28,17.58
339.2,185.7,1069.2,754.3,0,0,0,7,21.18
135.7,185.7,1076.2,759.3,203.5,0,0,28,18.2
193.5,185.7,998.2,704.3,290.2,0,0,7,17.2
203.5,185.7,1076.2,759.3,135.7,0,0,28,22.63
290.2,185.7,998.2,704.3,193.5,0,0,7,21.86
181.9,185.7,1012.4,714.3,272.8,0,0,7,12.37
170.3,185.7,1026.6,724.3,155.5,0,0,28,25.73
210.7,185.7,977,689.3,316.1,0,0,28,37.81
228,185.7,955.8,674.3,342.1,0,0,7,21.92
290.2,185.7,998.2,704.3,193.5,0,0,28,33.04
381.4,185.7,1104.6,784.3,0,0,0,7,14.54
238.2,185.7,1040.6,734.3,158.8,0,0,28,26.91
186.2,185.7,1083.4,764.3,124.1,0,0,7,8
339.2,185.7,1069.2,754.3,0,0,0,28,31.9
238.1,185.7,1118.8,789.3,0,0,0,7,10.34
252.5,185.7,1111.6,784.3,0,0,0,28,19.77
382.5,185.7,1047.8,739.3,0,0,0,28,37.44
252.5,185.7,1111.6,784.3,0,0,0,7,11.48
316.1,185.7,977,689.3,210.7,0,0,7,24.44
186.2,185.7,1083.4,764.3,124.1,0,0,28,17.6
170.3,185.7,1026.6,724.3,155.5,0,0,7,10.73
272.8,185.7,1012.4,714.3,181.9,0,0,28,31.38
339,197,968,781,0,0,0,3,13.22
339,197,968,781,0,0,0,7,20.97
339,197,968,781,0,0,0,14,27.04
339,197,968,781,0,0,0,28,32.04
339,197,968,781,0,0,0,90,35.17
339,197,968,781,0,0,0,180,36.45
339,197,968,781,0,0,0,365,38.89
236,194,968,885,0,0,0,3,6.47
236,194,968,885,0,0,0,14,12.84
236,194,968,885,0,0,0,28,18.42
236,194,968,885,0,0,0,90,21.95
236,193,968,885,0,0,0,180,24.1
236,193,968,885,0,0,0,365,25.08
277,191,968,856,0,0,0,14,21.26
277,191,968,856,0,0,0,28,25.97
277,191,968,856,0,0,0,3,11.36
277,191,968,856,0,0,0,90,31.25
277,191,968,856,0,0,0,180,32.33
277,191,968,856,0,0,0,360,33.7
254,198,968,863,0,0,0,3,9.31
254,198,968,863,0,0,0,90,26.94
254,198,968,863,0,0,0,180,27.63
254,198,968,863,0,0,0,365,29.79
307,193,968,812,0,0,0,180,34.49
307,193,968,812,0,0,0,365,36.15
307,193,968,812,0,0,0,3,12.54
307,193,968,812,0,0,0,28,27.53
307,193,968,812,0,0,0,90,32.92
236,193,968,885,0,0,0,7,9.99
200,180,1125,845,0,0,0,7,7.84
200,180,1125,845,0,0,0,28,12.25
225,181,1113,833,0,0,0,7,11.17
225,181,1113,833,0,0,0,28,17.34
325,184,1063,783,0,0,0,7,17.54
325,184,1063,783,0,0,0,28,30.57
275,183,1088,808,0,0,0,7,14.2
275,183,1088,808,0,0,0,28,24.5
300,184,1075,795,0,0,0,7,15.58
300,184,1075,795,0,0,0,28,26.85
375,186,1038,758,0,0,0,7,26.06
375,186,1038,758,0,0,0,28,38.21
400,187,1025,745,0,0,0,28,43.7
400,187,1025,745,0,0,0,7,30.14
250,182,1100,820,0,0,0,7,12.73
250,182,1100,820,0,0,0,28,20.87
350,186,1050,770,0,0,0,7,20.28
350,186,1050,770,0,0,0,28,34.29
203.5,203.5,963.4,630,305.3,0,0,7,19.54
250.2,203.5,977.6,694.1,166.8,0,0,90,47.71
157,192,935.4,781.2,236,0,0,90,43.38
141.3,203.5,971.8,748.5,212,0,0,28,29.89
166.8,203.5,975.6,692.6,250.2,0,0,3,6.9
122.6,203.5,958.2,800.1,183.9,0,0,90,33.19
183.9,203.5,959.2,800,122.6,0,0,3,4.9
102,192,887,942,153,0,0,3,4.57
102,192,887,942,153,0,0,90,25.46
122.6,203.5,958.2,800.1,183.9,0,0,28,24.29
166.8,203.5,975.6,692.6,250.2,0,0,28,33.95
200,192,965.4,806.2,133,0,0,3,11.41
108.3,203.5,938.2,849,162.4,0,0,28,20.59
305.3,203.5,965.4,631,203.5,0,0,7,25.89
108.3,203.5,938.2,849,162.4,0,0,90,29.23
116,192,909.8,891.9,173,0,0,90,31.02
141.3,203.5,971.8,748.5,212,0,0,7,10.39
157,192,935.4,781.2,236,0,0,28,33.66
133,192,927.4,839.2,200,0,0,28,27.87
250.2,203.5,977.6,694.1,166.8,0,0,7,19.35
173,192,946.8,856.8,116,0,0,7,11.39
192,192,929.8,716.1,288,0,0,3,12.79
192,192,929.8,716.1,288,0,0,28,39.32
153,192,888,943.1,102,0,0,3,4.78
288,192,932,717.8,192,0,0,3,16.11
305.3,203.5,965.4,631,203.5,0,0,28,43.38
236,192,972.6,749.1,157,0,0,7,20.42
173,192,946.8,856.8,116,0,0,3,6.94
212,203.5,973.4,750,141.3,0,0,7,15.03
236,192,972.6,749.1,157,0,0,3,13.57
183.9,203.5,959.2,800,122.6,0,0,90,32.53
166.8,203.5,975.6,692.6,250.2,0,0,7,15.75
102,192,887,942,153,0,0,7,7.68
288,192,932,717.8,192,0,0,28,38.8
212,203.5,973.4,750,141.3,0,0,28,33
102,192,887,942,153,0,0,28,17.28
173,192,946.8,856.8,116,0,0,28,24.28
183.9,203.5,959.2,800,122.6,0,0,28,24.05
133,192,927.4,839.2,200,0,0,90,36.59
192,192,929.8,716.1,288,0,0,90,50.73
133,192,927.4,839.2,200,0,0,7,13.66
305.3,203.5,965.4,631,203.5,0,0,3,14.14
236,192,972.6,749.1,157,0,0,90,47.78
108.3,203.5,938.2,849,162.4,0,0,3,2.33
157,192,935.4,781.2,236,0,0,7,16.89
288,192,932,717.8,192,0,0,7,23.52
212,203.5,973.4,750,141.3,0,0,3,6.81
212,203.5,973.4,750,141.3,0,0,90,39.7
153,192,888,943.1,102,0,0,28,17.96
236,192,972.6,749.1,157,0,0,28,32.88
116,192,909.8,891.9,173,0,0,28,22.35
183.9,203.5,959.2,800,122.6,0,0,7,10.79
108.3,203.5,938.2,849,162.4,0,0,7,7.72
203.5,203.5,963.4,630,305.3,0,0,28,41.68
203.5,203.5,963.4,630,305.3,0,0,3,9.56
133,192,927.4,839.2,200,0,0,3,6.88
288,192,932,717.8,192,0,0,90,50.53
200,192,965.4,806.2,133,0,0,7,17.17
200,192,965.4,806.2,133,0,0,28,30.44
250.2,203.5,977.6,694.1,166.8,0,0,3,9.73
122.6,203.5,958.2,800.1,183.9,0,0,3,3.32
153,192,888,943.1,102,0,0,90,26.32
200,192,965.4,806.2,133,0,0,90,43.25
116,192,909.8,891.9,173,0,0,3,6.28
173,192,946.8,856.8,116,0,0,90,32.1
250.2,203.5,977.6,694.1,166.8,0,0,28,36.96
305.3,203.5,965.4,631,203.5,0,0,90,54.6
192,192,929.8,716.1,288,0,0,7,21.48
157,192,935.4,781.2,236,0,0,3,9.69
153,192,888,943.1,102,0,0,7,8.37
141.3,203.5,971.8,748.5,212,0,0,90,39.66
116,192,909.8,891.9,173,0,0,7,10.09
141.3,203.5,971.8,748.5,212,0,0,3,4.83
122.6,203.5,958.2,800.1,183.9,0,0,7,10.35
166.8,203.5,975.6,692.6,250.2,0,0,90,43.57
203.5,203.5,963.4,630,305.3,0,0,90,51.86
310,192,1012,830,0,0,0,3,11.85
310,192,1012,830,0,0,0,7,17.24
310,192,1012,830,0,0,0,28,27.83
310,192,1012,830,0,0,0,90,35.76
310,192,1012,830,0,0,0,120,38.7
331,192,1025,821,0,0,0,3,14.31
331,192,1025,821,0,0,0,7,17.44
331,192,1025,821,0,0,0,28,31.74
331,192,1025,821,0,0,0,90,37.91
331,192,1025,821,0,0,0,120,39.38
349,192,1056,809,0,0,0,3,15.87
349,192,1056,809,0,0,0,7,9.01
349,192,1056,809,0,0,0,28,33.61
349,192,1056,809,0,0,0,90,40.66
349,192,1056,809,0,0,0,120,40.86
238,186,1119,789,0,0,0,7,12.05
238,186,1119,789,0,0,0,28,17.54
296,186,1090,769,0,0,0,7,18.91
296,186,1090,769,0,0,0,28,25.18
297,186,1040,734,0,0,0,7,30.96
480,192,936,721,0,0,0,28,43.89
480,192,936,721,0,0,0,90,54.28
397,186,1040,734,0,0,0,28,36.94
281,186,1104,774,0,0,0,7,14.5
281,185,1104,774,0,0,0,28,22.44
500,200,1125,613,0,0,0,1,12.64
500,200,1125,613,0,0,0,3,26.06
500,200,1125,613,0,0,0,7,33.21
500,200,1125,613,0,0,0,14,36.94
500,200,1125,613,0,0,0,28,44.09
540,173,1125,613,0,0,0,7,52.61
540,173,1125,613,0,0,0,14,59.76
540,173,1125,613,0,0,0,28,67.31
540,173,1125,613,0,0,0,90,69.66
540,173,1125,613,0,0,0,180,71.62
540,173,1125,613,0,0,0,270,74.17
350,203,974,775,0,0,0,7,18.13
350,203,974,775,0,0,0,14,22.53
350,203,974,775,0,0,0,28,27.34
350,203,974,775,0,0,0,56,29.98
350,203,974,775,0,0,0,90,31.35
350,203,974,775,0,0,0,180,32.72
385,186,966,763,0,0,0,1,6.27
385,186,966,763,0,0,0,3,14.7
385,186,966,763,0,0,0,7,23.22
385,186,966,763,0,0,0,14,27.92
385,186,966,763,0,0,0,28,31.35
331,192,978,825,0,0,0,180,39
331,192,978,825,0,0,0,360,41.24
349,192,1047,806,0,0,0,3,14.99
331,192,978,825,0,0,0,3,13.52
382,186,1047,739,0,0,0,7,24
382,186,1047,739,0,0,0,28,37.42
382,186,1111,784,0,0,0,7,11.47
281,186,1104,774,0,0,0,28,22.44
339,185,1069,754,0,0,0,7,21.16
339,185,1069,754,0,0,0,28,31.84
295,185,1069,769,0,0,0,7,14.8
295,185,1069,769,0,0,0,28,25.18
238,185,1118,789,0,0,0,28,17.54
296,192,1085,765,0,0,0,7,14.2
296,192,1085,765,0,0,0,28,21.65
296,192,1085,765,0,0,0,90,29.39
331,192,879,825,0,0,0,3,13.52
331,192,978,825,0,0,0,7,16.26
331,192,978,825,0,0,0,28,31.45
331,192,978,825,0,0,0,90,37.23
349,192,1047,806,0,0,0,7,18.13
349,192,1047,806,0,0,0,28,32.72
349,192,1047,806,0,0,0,90,39.49
349,192,1047,806,0,0,0,180,41.05
349,192,1047,806,0,0,0,360,42.13
302,203,974,817,0,0,0,14,18.13
302,203,974,817,0,0,0,180,26.74
525,189,1125,613,0,0,0,180,61.92
500,200,1125,613,0,0,0,90,47.22
500,200,1125,613,0,0,0,180,51.04
500,200,1125,613,0,0,0,270,55.16
540,173,1125,613,0,0,0,3,41.64
252,185,1111,784,0,0,0,7,13.71
252,185,1111,784,0,0,0,28,19.69
339,185,1060,754,0,0,0,28,31.65
393,192,940,758,0,0,0,3,19.11
393,192,940,758,0,0,0,28,39.58
393,192,940,758,0,0,0,90,48.79
382,185,1047,739,0,0,0,7,24
382,185,1047,739,0,0,0,28,37.42
252,186,1111,784,0,0,0,7,11.47
252,185,1111,784,0,0,0,28,19.69
310,192,970,850,0,0,0,7,14.99
310,192,970,850,0,0,0,28,27.92
310,192,970,850,0,0,0,90,34.68
310,192,970,850,0,0,0,180,37.33
310,192,970,850,0,0,0,360,38.11
525,189,1125,613,0,0,0,3,33.8
525,189,1125,613,0,0,0,7,42.42
525,189,1125,613,0,0,0,14,48.4
525,189,1125,613,0,0,0,28,55.94
525,189,1125,613,0,0,0,90,58.78
525,189,1125,613,0,0,0,270,67.11
322,203,974,800,0,0,0,14,20.77
322,203,974,800,0,0,0,28,25.18
322,203,974,800,0,0,0,180,29.59
302,203,974,817,0,0,0,28,21.75
397,185,1040,734,0,0,0,28,39.09
480,192,936,721,0,0,0,3,24.39
522,146,896,896,0,0,0,7,50.51
522,146,896,896,0,0,0,28,74.99
273,210,904,680,105,82,9,28,37.17
162,179,838,741,190,148,19,28,33.76
154,220,923,658,144,112,10,28,16.5
147,202,860,829,115,89,9,28,19.99
152,168,944,695,178,139,18,28,36.35
310,168,914,651,143,111,22,28,33.69
144,158,943,844,0,175,18,28,15.42
304,214,895,722,140,0,6,28,33.42
374,190,1013,730,0,0,7,28,39.05
159,175,953,720,149,116,15,28,27.68
153,200,1002,684,239,0,6,28,26.86
310,168,914,804,143,0,10,28,45.3
305,196,959,705,0,100,10,28,30.12
151,167,991,772,0,184,12,28,15.57
142,174,883,785,167,130,11,28,44.61
298,201,878,655,137,107,6,28,53.52
321,190,870,774,164,0,5,28,57.21
366,191,824,757,187,0,7,28,65.91
280,172,825,805,129,100,9,28,52.82
252,194,835,821,97,76,8,28,33.4
165,182,1023,729,0,150,12,28,18.03
156,180,1022,698,243,0,11,28,37.36
160,203,829,710,188,146,11,28,32.84
298,186,879,815,0,107,6,28,42.64
318,210,861,737,0,126,6,28,40.06
287,188,904,696,121,94,9,28,41.94
326,174,882,790,166,0,9,28,61.23
356,193,801,778,0,142,11,28,40.87
132,179,867,736,207,161,5,28,33.3
322,186,951,709,149,0,8,28,52.42
164,181,849,846,0,200,13,28,15.09
314,170,925,783,0,113,10,28,38.46
321,182,870,780,0,128,11,28,37.26
140,237,869,656,164,128,6,28,35.23
288,177,908,829,121,0,7,28,42.13
298,210,880,744,0,107,11,28,31.87
265,195,833,790,111,86,6,28,41.54
160,168,1049,688,250,0,12,28,39.45
166,183,859,827,260,0,13,28,37.91
276,180,870,768,116,90,9,28,44.28
322,196,818,813,0,116,10,28,31.18
149,193,892,780,139,109,6,28,23.69
159,176,990,789,187,0,11,28,32.76
261,201,864,761,100,78,9,28,32.4
237,247,853,695,92,71,6,28,28.63
313,178,1002,689,0,113,8,28,36.8
155,193,1047,697,183,0,9,28,18.28
146,202,827,872,230,0,3,28,33.06
296,221,819,778,0,107,11,28,31.42
133,196,949,795,210,0,3,28,31.03
313,178,867,824,145,0,8,28,44.39
152,184,992,816,0,112,8,28,12.18
153,178,1002,689,145,113,8,28,25.56
140,200,916,753,133,103,7,28,36.44
149,176,847,893,236,0,13,28,32.96
300,212,878,728,0,120,10,28,23.84
153,178,867,824,145,113,8,28,26.23
148,158,1002,830,0,137,16,28,17.95
326,199,801,792,0,138,11,28,40.68
153,178,1000,822,145,0,8,28,19.01
262,195,895,733,111,86,5,28,33.72
158,220,898,713,0,195,11,28,8.54
151,167,1074,678,0,185,16,28,13.46
273,199,931,762,0,90,11,28,32.24
149,183,953,780,118,92,7,28,23.52
143,191,967,643,169,143,8,28,29.72
260,171,936,763,101,78,10,28,49.77
313,178,917,759,161,0,10,28,52.44
284,168,970,794,120,0,7,28,40.93
336,182,986,817,0,0,3,28,44.86
145,181,979,812,0,134,11,28,13.2
150,174,1069,675,237,0,12,28,37.43
144,192,814,805,170,133,8,28,29.87
331,195,811,802,170,0,8,28,56.61
155,193,1047,697,0,143,9,28,12.46
155,193,877,868,183,0,9,28,23.79
135,180,961,805,0,166,10,28,13.29
266,178,910,745,112,87,10,28,39.42
314,179,869,690,145,113,8,28,46.23
313,127,1000,822,145,0,8,28,44.52
146,182,986,817,173,0,3,28,23.74
144,178,941,774,136,106,7,28,26.14
148,181,839,884,0,182,15,28,15.52
277,191,946,666,117,91,7,28,43.57
298,164,953,784,0,107,13,28,35.86
313,178,1002,689,145,0,8,28,41.05
155,194,880,699,184,143,9,28,28.99
289,195,924,760,134,0,6,28,46.24
148,171,1000,828,175,0,2,28,26.92
145,202,824,869,0,179,8,28,10.54
313,178,1000,822,0,0,8,28,25.1
136,172,923,764,162,126,10,28,29.07
155,193,877,868,0,143,9,28,9.74
255,189,919,749,99,77,6,28,33.8
162,216,822,638,207,172,10,28,39.84
136,199,847,783,196,98,6,28,26.97
164,197,961,641,163,128,8,28,27.23
162,202,820,680,214,164,10,28,30.65
157,200,819,704,214,152,9,28,33.05
149,192,935,623,153,194,8,28,24.58
135,196,965,643,105,193,6,28,21.91
159,201,848,669,209,161,7,28,30.88
144,176,1021,709,15,195,6,28,15.34
154,228,845,612,174,185,7,28,24.34
167,185,898,636,187,195,7,28,23.89
184,213,923,623,86,190,6,28,22.93
156,221,854,614,178,187,7,28,29.41
236.9,246.9,852.9,695.4,91.7,71.5,6,28,28.63
313.3,178.5,1001.9,688.7,0,113,8,28,36.8
154.8,193.3,1047.4,696.7,183.4,0,9.1,28,18.29
145.9,202.5,827,871.8,230.5,0,3.4,28,32.72
296,221.4,819.2,778.4,0,106.7,10.5,28,31.42
133.1,195.7,949.4,795.3,210.2,0,3.1,28,28.94
313.3,178.5,867.2,824,145,0,8,28,40.93
151.6,184.4,992,815.9,0,111.9,7.9,28,12.18
153.1,178.5,1001.9,688.7,145,113,8,28,25.56
139.9,200.3,916,753.4,132.6,103.3,7.4,28,36.44
149.5,175.8,846.8,892.7,236,0,12.6,28,32.96
299.8,211.5,878.2,727.6,0,119.8,9.9,28,23.84
153.1,178.5,867.2,824,145,113,8,28,26.23
148.1,158.1,1001.8,830.1,0,136.6,16.1,28,17.96
326.5,199,801.1,792.5,0,137.9,10.8,28,38.63
152.7,178.1,999.7,822.2,144.7,0,8,28,19.01
261.9,195.4,895.2,732.6,110.5,86.1,5,28,33.72
158.4,219.7,897.7,712.9,0,194.9,11,28,8.54
150.7,166.7,1074.5,678,0,185.3,15.6,28,13.46
272.6,198.7,931.3,762.2,0,89.6,10.6,28,32.25
149,182.9,953.4,780.3,117.6,91.7,7.1,28,23.52
143,190.7,967.4,643.5,169.4,142.7,8.4,28,29.73
259.9,170.6,935.7,762.9,100.6,78.4,10.4,28,49.77
312.9,177.6,916.6,759.5,160.5,0,9.6,28,52.45
284,168.3,970.4,794.2,119.7,0,7.2,28,40.93
336.5,181.9,985.8,816.8,0,0,3.4,28,44.87
144.8,180.8,979.5,811.5,0,133.6,11.1,28,13.2
150,173.8,1069.3,674.8,236.8,0,11.9,28,37.43
143.7,191.6,814.1,805.3,170.2,132.6,8.5,28,29.87
330.5,194.9,811,802.3,169.6,0,8.1,28,56.62
154.8,193.3,1047.4,696.7,0,142.8,9.1,28,12.46
154.8,193.3,877.2,867.7,183.4,0,9.1,28,23.79
134.7,180.2,961,804.9,0,165.7,10,28,13.29
266.2,177.9,909.7,744.5,112.3,87.5,10.4,28,39.42
314,178.9,869.1,690.2,145.3,113.2,8,28,46.23
312.7,127.3,999.7,822.2,144.7,0,8,28,44.52
145.7,181.9,985.8,816.8,172.6,0,3.4,28,23.74
143.8,178.1,941.5,774.3,136.3,106.2,7.5,28,26.15
148.1,181.4,838.9,884.3,0,182.1,15,28,15.53
277,190.6,946.5,665.6,116.8,91,7,28,43.58
298.1,163.6,953.2,784,0,107.5,12.8,28,35.87
313.3,178.5,1001.9,688.7,145,0,8,28,41.05
155.2,193.8,879.6,698.5,183.9,143.2,9.2,28,28.99
289,194.9,924.1,760.1,133.7,0,5.5,28,46.25
147.8,171.2,1000,828.5,175.1,0,2.2,28,26.92
145.4,201.7,824,868.7,0,178.9,7.8,28,10.54
312.7,178.1,999.7,822.2,0,0,8,28,25.1
136.4,171.6,922.6,764.4,161.6,125.8,10.4,28,29.07
154.8,193.3,877.2,867.7,0,142.8,9.1,28,9.74
255.3,188.6,919,749.3,98.8,77,6.5,28,33.8
272.8,209.7,904,679.7,105.1,81.8,9,28,37.17
162,178.8,838.1,741.4,190.1,148.1,18.8,28,33.76
153.6,220.1,923.2,657.9,144.2,112.3,10.1,28,16.5
146.5,201.9,860,829.5,114.6,89.3,8.8,28,19.99
151.8,167.5,944,694.6,178.1,138.7,18.3,28,36.35
309.9,167.8,913.9,651.2,142.8,111.2,22.1,28,38.22
143.6,158.4,942.7,844.5,0,174.9,17.9,28,15.42
303.6,213.5,895.5,722.5,139.9,0,6.2,28,33.42
374.3,190.2,1013.2,730.4,0,0,6.7,28,39.06
158.6,175.1,953.3,719.7,148.9,116,15,28,27.68
152.6,200,1001.8,683.9,238.7,0,6.3,28,26.86
310,167.9,914.3,804,142.8,0,10,28,45.3
304.8,196,959.4,705.2,0,99.6,9.8,28,30.12
150.9,166.6,991.2,772.2,0,183.9,11.6,28,15.57
141.9,173.5,882.6,785.3,166.6,129.7,10.9,28,44.61
297.8,201.3,878.4,655.3,137.2,106.9,6,28,53.52
321.3,190.5,870,774,164.2,0,4.6,28,57.22
366,191.3,824.3,756.9,187,0,6.6,28,65.91
279.8,172.4,825.1,804.9,128.9,100.4,9.5,28,52.83
252.1,193.8,835.5,821.4,97.1,75.6,8.3,28,33.4
164.6,181.6,1023.3,728.9,0,150.4,11.7,28,18.03
155.6,180.3,1022,697.7,243.5,0,10.7,28,37.36
160.2,203.2,828.7,709.7,188,146.4,11.3,28,35.31
298.1,186.4,879,815.2,0,107,6.1,28,42.64
317.9,209.7,860.5,736.6,0,126.5,5.7,28,40.06
287.3,187.6,904.4,695.9,120.5,93.9,9.2,28,43.8
325.6,174,881.6,790,166.4,0,8.9,28,61.24
355.9,193.3,801.4,778.4,0,141.6,11,28,40.87
132,178.9,866.9,735.6,206.5,160.9,5.5,28,33.31
322.5,185.8,951,709.5,148.6,0,8.5,28,52.43
164.2,181.2,849.3,846,0,200.1,12.6,28,15.09
313.8,169.9,925.3,782.9,0,112.6,10.1,28,38.46
321.4,182.5,870.1,779.7,0,127.9,11.5,28,37.27
139.7,236.7,868.6,655.6,163.9,127.7,5.8,28,35.23
288.4,177.4,907.9,829.5,121,0,7,28,42.14
298.2,209.7,879.6,744.2,0,107,11.1,28,31.88
264.5,195.5,832.6,790.4,111,86.5,5.9,28,41.54
159.8,168.4,1049.3,688.2,250,0,12.2,28,39.46
166,183.2,858.8,826.8,259.7,0,12.7,28,37.92
276.4,179.6,870.1,768.3,116,90.3,8.9,28,44.28
322.2,196,817.9,813.4,0,115.6,10.4,28,31.18
148.5,192.7,892.4,780,139.4,108.6,6.1,28,23.7
159.1,175.6,989.6,788.9,186.7,0,11.3,28,32.77
260.9,200.6,864.5,761.5,100.5,78.3,8.6,28,32.4
